tweet_text,cyberbullying_type,toxicity,is_cyberbullying,predicted
RT @goodfoodAU: A restaurant AND a cookbook for #mykitchenrules twins Helena and Vikki. #mkr http://t.co/jopkwkiYqH,not_cyberbullying,0.01017851,0,0
@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime I don't care about an idiot with an absurd opinion.,not_cyberbullying,0.76197964,0,0
@YouSoFancy oh MAN!! Not sure it gets better than Timbaland.,not_cyberbullying,0.04735767,0,0
The Bully at Work: What You Can Do to Stop the Hurt and Reclaim Your Dignity on the Job http://dlvr.it/bn8wZ,not_cyberbullying,0.1460314,0,0
@harmlesstree2 Here 11 https://t.co/xWJzpSodGj,not_cyberbullying,0.009738698,0,0
"RT @BastardKeith: Over $100,000 has been raised for Darren Wilson. But man, why must liberals bring RACE into this?! It's about...oh. http:…",not_cyberbullying,0.3302291,0,0
Some people need to get off the computer and get a life and stop bullying people!!!,not_cyberbullying,0.36095104,0,0
@Palestine_UN @isra_jourisra They were connected to the Muslim Brotherhood.,not_cyberbullying,0.041915078,0,0
"@miltonn eu uso a minha beeem assim, e ainda tem gente que me chama de Restart, Bullying.",not_cyberbullying,0.20335422,0,0
@JoRitson Do humanity a favor and jump in a hole and pull the dirt in over you.,not_cyberbullying,0.63782936,0,0
RT @curdistani: Kurdish forcec #YPG and allies cleansed Qaraqawzaq bridge area from ISIS terrorists #TwitterKurds #Kobane,not_cyberbullying,0.13041082,0,0
@sheeeneee That's goooood! Call me tmr baby. I'm not going school so wake me up before you leave okay.,not_cyberbullying,0.19124292,0,0
Thanks today! Successful nge-Bully-nya haha @sarahmuharani @andienpp @ViviOlvita jg @sheryol,not_cyberbullying,0.08795626,0,0
"What happened to all those friends in that car with her?“@eonline: Rebecca Black Drops Out of School, Blames Bullying http://t.co/kbAWtYv”",not_cyberbullying,0.16331999,0,0
"@luan_conta bullying mesmo foi você falando que parecia que a menina tava num ensaio, nao cantando pro show o:",not_cyberbullying,0.28312725,0,0
Portland IKEA: now with birds!,not_cyberbullying,0.020842785,0,0
@jaymgates on behalf of engineers I'm offend- okay no I'm not.,not_cyberbullying,0.06579731,0,0
@MelBiebs69 @haroonstyles @halalflaws @greenlinerzjm @biebervalue Come on. Let's do it one verse at a time. Everybody verify what it says.,not_cyberbullying,0.04686289,0,0
So apparently the saloon bar in msp decided to steal my jacket because I'm dating @DuncanBlackXXX .. Real,not_cyberbullying,0.25462922,0,0
Being a feminist can be so incredibly fucking lonely offline.,not_cyberbullying,0.71760553,0,0
RT @ohmyloz: De-constructed is code word for 'fell on the floor' right? #MKR,not_cyberbullying,0.04240986,0,0
Someone posted this on facebook in response to that woman tweeting at me earlier today. ^.^ http://t.co/bY9wkRELYO,not_cyberbullying,0.048842013,0,0
"RT @ikralla: Khadgar, you're so sassy. http://t.co/H1zs9V2wl4",not_cyberbullying,0.23812068,0,0
"take that Kat &amp; Andre, scum of the earth LOL #mkr. I just can't with them... #mykitchenrules.",not_cyberbullying,0.50759226,0,0
Dare I say it? Had fun hanging out with a friend from the IGDA in a non-IGDA capacity. So very collusion. How ethics. Much wow.,not_cyberbullying,0.06817148,0,0
Uncooked egg....😷 vomit,not_cyberbullying,0.3722269,0,0
Surely we are being Punked #MKR,not_cyberbullying,0.15158679,0,0
@HeartNielkys_ me too im soooo over this semester I cant wait to finish,not_cyberbullying,0.028149333,0,0
#mkr the way kat looks at Annie is like she's stearing into her soul it's just creepy,not_cyberbullying,0.3827457,0,0
Retail News: Bad call: Telstra accused of bullying http://goo.gl/fb/cKweg,not_cyberbullying,0.11098998,0,0
if you don't know about the old old old school songs something is wrong.,not_cyberbullying,0.16043124,0,0
RT @Msloulou77: These people are seriously deluded to think they have any 'future in food' beyond eating it. #MKR,not_cyberbullying,0.085582085,0,0
Something is going on :O :O,not_cyberbullying,0.02685301,0,0
Life not worth living without family,not_cyberbullying,0.05230548,0,0
Niggahs Just Became Gotti Fans On The 6th One 😒,not_cyberbullying,0.63782936,0,0
Can men please stop shooting people for a goddamn second?,not_cyberbullying,0.6308517,0,0
@RyanGebble Yeah male Shepard is just so DIFFERENT and INTERESTING like all the other white male protags in every game ever,not_cyberbullying,0.25462922,0,0
@tarkasteve awww. I felt scattered as heck. I need sleep :P,not_cyberbullying,0.16331999,0,0
"GamerGate is trying to do damage control, hard. I don't think they realize that there's nothing left for them to salvage.",not_cyberbullying,0.09655223,0,0
I want to try a old-fashioned. Maybe it'll become my drink of choice. #classyandfabulous,not_cyberbullying,0.03734144,0,0
@jwinno #AskJosh Can you tweet me so I can fangirl in the middle of class? &lt;33 Love you.,not_cyberbullying,0.16678599,0,0
"I just can't get over how wadhwa wouldn't believe that woman was a dev because on Twitter, you can ""be anybody""",not_cyberbullying,0.165053,0,0
Omg Stewart has a long middle finger!! Lol!!,not_cyberbullying,0.25462922,0,0
"RT @JamilahLemieux: Today's news will assert that a crazy, White outlier attempted to bomb an NAACP office, and that Islam carried out a te…",not_cyberbullying,0.4269174,0,0
Kat and Andre are honestly the most annoying spiteful just irritating muppets I have ever seen They won't go home but fuck I hate them #MKR,not_cyberbullying,0.8988238,0,0
Spanish class was bomedy in high school lol,not_cyberbullying,0.32397532,0,0
*everyone acts surprised*,not_cyberbullying,0.024613906,0,0
"My nose is runny, I lost my hair tie, I have a midterm due at midnight, and my eye is twitching. #notokay #getthroughit #noooo #collegeprobs",not_cyberbullying,0.051068526,0,0
@jsimmonsdubcity YOU ALREADY KNOW !! IM GOOD ALIVE AND WELL HOWS THE FAM?,not_cyberbullying,0.09033044,0,0
@MaryForbes14 @arrowsmithwoman @marieharf Where does that info come from?,not_cyberbullying,0.015833238,0,0
@MoneyyTalkz huh,not_cyberbullying,0.008293601,0,0
K! Now I see why coaches get mad when the players go out late at night. #Exhausted,not_cyberbullying,0.11202335,0,0
@ottomanland @loveconcursall Brilliant how the English spy and t Israelis got Erdogan to let all those terrorists into Syria through Turkey,not_cyberbullying,0.32289913,0,0
"@hassanfarias O problema é que hoje em dia as pessoas confundem crítica, ou simplesmente falar a verdade, com bullying, aí fica difícil.",not_cyberbullying,0.039935954,0,0
Prob not breakfasting the Paleo diet Pete but it's right up there with Pizza in my breakfast book! #MKR,not_cyberbullying,0.013131535,0,0
i was borned with_______,not_cyberbullying,0.112333365,0,0
"Make ha succ my din'iccc til deh bitch hiccup , &amp; when she call my phi'none ionn even PICCUP !",not_cyberbullying,0.7675452,0,0
"@freebsdgirl s/udent, j/udent, lawyer, j/",not_cyberbullying,0.031449065,0,0
@onwardedge @rrubick thanks Kevin..I do love football and especially high school where it means so much to them,not_cyberbullying,0.016838523,0,0
Who would be the Pretty little liars on AU campus!!! #interesting,not_cyberbullying,0.4014846,0,0
Oh that was a typo guys. For dessert you get SorbeNt. You'll need it after the spatchcock #mkr,not_cyberbullying,0.37751234,0,0
@purposelyflawed http://t.co/P6KTLT0XBZ,not_cyberbullying,0.026735162,0,0
@adnanifares There were no chemical missles fired. The Pesh hit ISIS chemical weapons with their rockets.,not_cyberbullying,0.17805049,0,0
"@SFtheWolf @max2000warlord people confuse empathy with being scared, and that says more about them than anything.",not_cyberbullying,0.05378982,0,0
@LynnMagic let this be the start of a new trend. Selfie with random boobpillow.,not_cyberbullying,0.3561489,0,0
@cdnKhadija @johnnygjokaj @BilalIGhumman @98Halima @rfrankh53 Conspiracy garbage.,not_cyberbullying,0.25462922,0,0
Without a struggle when is there ever victory?,not_cyberbullying,0.03734144,0,0
#MKR”,not_cyberbullying,0.021432023,0,0
I cleaned my room now im doin my motherly duties,not_cyberbullying,0.1996317,0,0
@UnitePink my apt complex turns away all packages ❤️,not_cyberbullying,0.015958898,0,0
"RT @ThatSabineGirl: Cis people: If you support trans ppl, do NOT watch #TheDanishGirl. And especially, don't watch it then act like you kno…",not_cyberbullying,0.38601747,0,0
Turned the tele off. How did tinyteeth and spindle do in #MKR #MKR2015  ?,not_cyberbullying,0.09741997,0,0
Fourth Circuit Court Upholds School Discipline Of Student For Internet Bullying http://ht.ly/670ev #bullying #sm #schools,not_cyberbullying,0.09438288,0,0
I would say Josh take your top off...but I feel like we'd be underwhelmed #mkr #wherearethehotmen,not_cyberbullying,0.0665887,0,0
@CoralineAda i like you.,not_cyberbullying,0.011120965,0,0
"How could you just walk away from the person that at one time, you wanted to be with forever.?",not_cyberbullying,0.030506283,0,0
"nossa mano, a erika num sabe me dar oi normal como todas as pessoas, ela tem que me bater .. isso é bullying ta dona",not_cyberbullying,0.5532103,0,0
This yogurt made my morningg :),not_cyberbullying,0.037105743,0,0
@iL0laH3art friggin me up since last night so she better answer wen I call,not_cyberbullying,0.3977292,0,0
"Oh yeah, car? well, ur face has no traction.",not_cyberbullying,0.37751234,0,0
RT @LynneMcGranger: #MKR ooooooh C'mon #blondebutchers ! Livers crossed!! :),not_cyberbullying,0.071337044,0,0
RT @fredwimpy: Hollywood Moron of the Day #tcot #2A LIAM NEESON ON PARIS ATTACK: US GUN OWNERSHIP ‘A [BLEEPING] DISGRACE’ http://t.co/iZtgY…,not_cyberbullying,0.37458646,0,0
Hanging out outside the Marriott marquis across from GDC. Come say hi. :P,not_cyberbullying,0.12520397,0,0
RT @gerfingerpoken: Americans Prefer #AmericanSniper Over Obama Empty Chair http://t.co/p3ByZARaG4 … #IBDeditorials via @IBDinvestors - htt…,not_cyberbullying,0.104795754,0,0
"@El_Universal_Mx en cuanto le sigan dando propaganda en las novelas, revistas, radios y películas, nunca se erradicará #bullying",not_cyberbullying,0.11223003,0,0
bro i am so pro i can cook 2 minute noodles #mkr #moreprothanyou,not_cyberbullying,0.05280026,0,0
@GrayFylan ❤️❤️,not_cyberbullying,0.0045551974,0,0
RT @PatriceChienne: I honestly think Kat has mental health issues. #mkr,not_cyberbullying,0.37751234,0,0
@KirinDave not bad. sad that i just ordered my new ASUS yesterday. :P,not_cyberbullying,0.01859777,0,0
I'm soo loving the show @mykitchenrules #mkr #lovingit #melbourne #gatherthepack,not_cyberbullying,0.02402467,0,0
@IUseVATSTooMuch @anansi234 nah. A *really* bad data scientist with the worst sourcing methodologies ever,not_cyberbullying,0.32764325,0,0
"If a ""college scout"" saw that hit , he would have laughed...",not_cyberbullying,0.14082454,0,0
"RT @MolksTVTalk: Tonight's dessert is called ""Remains of the Day"". #MKR",not_cyberbullying,0.027324399,0,0
Girl you special like a met you in a slow class 😉,not_cyberbullying,0.2854733,0,0
stan got this A+ last word before blocking me: Ever heard of caustic #sarcasm? Rename yourself @yesyoureaBellend Thanks Awfully *mwah!* xxx,not_cyberbullying,0.4014846,0,0
@NATgotemall never that not me lls,not_cyberbullying,0.05725329,0,0
SASSY looks rubbish! I would not eat there #mkr,not_cyberbullying,0.62702215,0,0
Class from Campbell that.,not_cyberbullying,0.011435116,0,0
@DynamoFilistin http://t.co/6OQ8fC1u9w,not_cyberbullying,0.017969469,0,0
"RT @EzidiPress: Narîn, a young #Ezidi women from Shingal who was abducted, enslaved, sold and raped by ISIS terrorists, committed suicide i…",not_cyberbullying,0.40060925,0,0
@BrianaHart13 @FerminLaura hurry up and get to 10k tweets I swear you guys have been at the same tweets for. Years.,not_cyberbullying,0.040430736,0,0
RT @SarahSchwartz: More women have died from domestic violence in the last decade than soldiers have been killed in Iraq &amp; Afghanistan #Yes…,not_cyberbullying,0.20172562,0,0
@jgray0711 I like it! #mkr,not_cyberbullying,0.020231359,0,0
"There's No Such Thing As A Bully: Adults, Too?: When a student makes a very important observation, the author is... http://t.co/wITIZFU",not_cyberbullying,0.15490346,0,0
I don't miss high school!!,not_cyberbullying,0.05378982,0,0
Annie &amp; Lloyd are serving leftover dinner for breakfast. Why? #mkr,not_cyberbullying,0.028149333,0,0
High achieving #Latinos who don't conform to stereotypes are vulnerable to the effect #bullying has on grades.  http://t.co/vqbp1cX,not_cyberbullying,0.23451406,0,0
@Ammaawah @jm111t So you are not insulted when the prophet calls women stupid? http://t.co/G2caS5blLN,not_cyberbullying,0.47886392,0,0
"@microsoft_cares Sounds like a plan, Matthew! Be sure to get some pictures of you &amp; your new #Surface!",not_cyberbullying,0.037105743,0,0
RT @a_man_in_black: This article is shit but lol @GRIMACHU losing an argument with @randi_ebooks made Buzzfeed. #gamergate http://t.co/icWb…,not_cyberbullying,0.4269174,0,0
YOU CAN ASPHYXIATE A DISENGAGE WHAAAAAT,not_cyberbullying,0.37955463,0,0
"@Loquori yes. although my funds are rather limited, so trying to find someone that has a spare. &gt;.&gt;",not_cyberbullying,0.037577134,0,0
I thought everyone on Twitter hated the butcher/promo girls when they were saying mean &amp; self-absorbed stuff about other contestants? #mkr,not_cyberbullying,0.25462922,0,0
@seanbonner @metsfan anything that requires a government ID is a privacy concern. anything that requires money is a bad idea forever.,not_cyberbullying,0.025792383,0,0
#FateNumberFor,not_cyberbullying,0.057005897,0,0
RT @zellieimani: The recent shooting in Berkeley is not an isolated event. A Black person is killed every 28 hours. It's right on schedule.…,not_cyberbullying,0.37751234,0,0
Estou sofrendo bullying ( @DiiegoFernando @pocaai @NE_bruno ) HUAHUHA,not_cyberbullying,0.091913216,0,0
@SoFaKingSexii @FallBack_Shawty heck yea we do time for some boys,not_cyberbullying,0.3047732,0,0
@yvss1513 @XimenaYuriria Ashhh ni se quejen que Uds. Igual me hacen bullying ehhh POBRE de MI!!!!,not_cyberbullying,0.17285149,0,0
Reminder: A bully always hurts someone weaker than himself. He will never go after someone he isn't sure he can overwhelm physically.,not_cyberbullying,0.17631748,0,0
"@scottyswaggod men are the ones that are going to push the real change. they are the ones in power, generally. we need their help.",not_cyberbullying,0.04760506,0,0
Bullying http://t.co/sbHjDUt via @youtube,not_cyberbullying,0.10870059,0,0
"@grexican Free speech, science, AND evolution!? The Fedora Trifecta!!",not_cyberbullying,0.12867521,0,0
Come on Sheri and Em you can't go to sudden death love you xx good luck #mkr #mkr2015,not_cyberbullying,0.2191003,0,0
@SlaunchaMan that's still not my login for freebsd. :P,not_cyberbullying,0.027560094,0,0
@MclendonLakisha That is a lie.  The prophet Mohammed had people executed for criticizing him.,not_cyberbullying,0.3367073,0,0
RT @nicwkelly: If this horrendousness beats Lynn and Tony the angels I'll be so sad #MKR,not_cyberbullying,0.20009702,0,0
RT @andyrewbooth: #MKR2015 #MKR http://t.co/mD9TyU1MOn,not_cyberbullying,0.011435116,0,0
@mutaSawwif Your crying is not about caring for humanity. It is simply propagandizing your agenda.,not_cyberbullying,0.20839658,0,0
"Yeah, the nights been shit so far......let's make it worse",not_cyberbullying,0.76197964,0,0
gente não precisa vim com bullying pq meu email é foda ok KKK,not_cyberbullying,0.78207105,0,0
@TacyBarbosa1  TO SOFRENDO BULLYING KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,not_cyberbullying,0.36095104,0,0
@BrianHallDev @sindarina not fond of the idea of creating features with a money barrier.,not_cyberbullying,0.023553278,0,0
Follow News Reports Of #BrandonMcInerney Shooting Death Of #LarryKing Trial http://t.co/WgrutwF #Gay #GLBT #LGBT #Bullying #Murder,not_cyberbullying,0.32764325,0,0
One thing's certain - we're pretty sad we won't get to sample the BBQ breakfasts! Which team would you head over to first? #MKR #tvweekmag,not_cyberbullying,0.022964042,0,0
Deconstructed mean rustic now. Good to know. I make deconstructed stuff all the time then. #mkr,not_cyberbullying,0.044636376,0,0
Kat just loving the negative reviews. #MKR,not_cyberbullying,0.07845957,0,0
Going to get Taylor swifts new cd and lay my sick ass in bed and listen to it,not_cyberbullying,0.7510937,0,0
Go Manu! #mkr,not_cyberbullying,0.017843807,0,0
Why Workplace Bullying Should Be Legal http://dld.bz/abaEJ,not_cyberbullying,0.1587729,0,0
I want to see Ash and Camilla win this show #MKR,not_cyberbullying,0.021314176,0,0
RT @connollyisking: @YesYoureSexist To judge me as a parent.... I feel sorry for you. I'm merely pointing out that the physical confrontati…,not_cyberbullying,0.112643376,0,0
@katisbanned a TI t quería decir que te vi en la tv y q salías linda pero q = t haría bullying. Se lo dije a tu kissmyass sin querer =(,not_cyberbullying,0.37751234,0,0
"RT @shanley: First step is doxxing and death threats, which immediately destabilizes the target's most fundamental sense of safety and secu…",not_cyberbullying,0.19504376,0,0
@wanyinglah hehehee trying to! But now very tempted!!!,not_cyberbullying,0.032863233,0,0
@_Kurda_ Baghdadi's little torch show will cost him a thousand Daesh at the hands of the Jordanians.,not_cyberbullying,0.3281604,0,0
"@stevenamoney And they're both good additions, although quiet lately. 3D know the business. Bully is a great heel, and Devon got buff!",not_cyberbullying,0.085582085,0,0
[EN] Conservative MP’s Family Falls Victim to Online Bullying: http://t.co/emqbRt0,not_cyberbullying,0.11098998,0,0
I am supperrrrrrr bored.,not_cyberbullying,0.103060275,0,0
Uncooked egg....😷 vomit #mkr,not_cyberbullying,0.3286776,0,0
RT @Iranianatheist1: Bill warner: Islam versus Crusades. https://t.co/ykA0Awvria,not_cyberbullying,0.11440011,0,0
"RT @G__Syd: if it's a Kat and Annie showdown, the 'sudden death' could be literal. #mkr",not_cyberbullying,0.2043827,0,0
@ZhanaelDaiche it's basically what we already do in game. :P,not_cyberbullying,0.01608456,0,0
@NedGilmore i think it was clefthoof meat?,not_cyberbullying,0.11036996,0,0
minha amiga Ariadna não foi pra escola hoje porque está sofrendo Bulling HSUAHSUAH,not_cyberbullying,0.23451406,0,0
"O menino admitiu que foi vítima de bullying, e pra chamar atenção, criou essa história se declarando nazista e que mataria todos",not_cyberbullying,0.2412222,0,0
My daddy was a bedroom bully.. & had a bully baby,not_cyberbullying,0.44039994,0,0
@AbuYigitAlCahrz @LeonardoMaxwel1 Did the western media put these heads on stakes? http://t.co/7EbGaw5WUC,not_cyberbullying,0.103928015,0,0
That's just sloppy shit on a plate - deconstructed really - give it up for disaster  #mkr,not_cyberbullying,0.7856813,0,0
@98Halima @rfrankh53 @BilalIGhumman @johnnygjokaj Have you noticed how ISIS prices women in the slave market?,not_cyberbullying,0.30452284,0,0
Let's not forget that Joan Rivers was a privileged asshole who whined constantly about her lack of rights to tell oppressive jokes.,not_cyberbullying,0.68408644,0,0
"@Ghanin97 @unknownboy25 deyh, who u tweeting about?",not_cyberbullying,0.03875561,0,0
They be highschool sweethearts nshit. RT @PoLoNicole It ain't too early fa this ? Lol RT @_GoldyyLocks Mezikans be forever in love,not_cyberbullying,0.4269174,0,0
@mykitchenrules what is the difference between hot cakes and pancakes #mkr,not_cyberbullying,0.035220183,0,0
#SelfDefense The Best Martial Art for stopping Bullying http://t.co/cQajVOl,not_cyberbullying,0.07371122,0,0
OOOOOOO Imma fuck that nigga up,not_cyberbullying,0.91625386,0,1
"The desire to say something mean, to gossip, to complain—to just somehow get rid of aggression—is like a tidal wave. Chodron",not_cyberbullying,0.13908891,0,0
RT @salvodan: @freebsdgirl http://t.co/A2I2K4as1u,not_cyberbullying,0.02249265,0,0
Ooo... I can see this going somewhere... Hehehe.,not_cyberbullying,0.025792383,0,0
"Calling someone sexist = worse than sexism. I'm glad of the daily allotment of male tears, though, they keep my skin fresh and dewy",not_cyberbullying,0.28312725,0,0
I feel like change is gonna happen soon.,not_cyberbullying,0.01834645,0,0
@tpstigers depends on the artist ;) my outfit has a cape.,not_cyberbullying,0.025556687,0,0
Over 750 dining dollars and 47 meal swipes that need used before the end of the semester.. Here come that freshman fifteen..,not_cyberbullying,0.0201057,0,0
@Te4m_NiGhtM4Re http://t.co/5Ih7MkDbQG,not_cyberbullying,0.013822667,0,0
#iwishyouwouldturnmedown and you be waitin on a ride to Bully every friday,not_cyberbullying,0.3389984,0,0
@mauvedeity i had a rescue puppy named rj45. :),not_cyberbullying,0.034984488,0,0
Anger over bullying at work talks: A ROW has erupted between Central Beds Council (CBC) and workers’ union GMB a... http://bit.ly/quVhWD,not_cyberbullying,0.046368107,0,0
Kat and Andre do not deserve to be in the competition #dogs #mkr,not_cyberbullying,0.36043653,0,0
"I'm hopeless. I spent my day reading again. Not packing, not learning a new piece, not exercising whatever. Just plain reading. Uh-oh",not_cyberbullying,0.038519915,0,0
#itreallymakesmemad when people think harassing/bullying/bitching out people is cute.,not_cyberbullying,0.44039994,0,0
"RT @Awkward_Duck: Too many asking protests not be disruptive. That's the entire point! We're here to interrupt the status quo, not plan aro…",not_cyberbullying,0.05799546,0,0
@instantrestaruantredemption #MKR this series going til Christmas?,not_cyberbullying,0.01859777,0,0
@shehzilk @watan71969 At least Churchill got it right. http://t.co/Bjgk9PdUUO,not_cyberbullying,0.024731753,0,0
"And he's an author. You know, someone who needs empathy to perform his job. http://t.co/mQeFE8SuH0",not_cyberbullying,0.034984488,0,0
"@Gareth_Simms She writes for NME a lot. The only thing right about it is the track names, which says so much about current NME form.",not_cyberbullying,0.018723432,0,0
"RT @JakeM_1998: RT BillSpindle: It's all about power at the top, but for fighters on the ground #Tikrit is religious war on both sides …",not_cyberbullying,0.103928015,0,0
"RT @join_oapi: Great article! Wired | Curbing Online Abuse Isn't Impossible, Here's Where We Start http://t.co/MJEj6niarc",not_cyberbullying,0.049831573,0,0
this is a retarded  question but what's the Pokemon in your avatar,not_cyberbullying,0.4269174,0,0
"@NewIdeamagazine No, that kid is just a brat #mkr",not_cyberbullying,0.45090583,0,0
"And a 7 for ""smear of lemon tart""??? #MKR",not_cyberbullying,0.027324399,0,0
"Those kids will never learn that every time they do something to harass me like this, more people learn about my work to stop harassment.",not_cyberbullying,0.13214645,0,0
"In short, this is the most hilarious GamerGate BSD fail I have ever seen. #FreeBSD #OpenBSD #PCBSD http://t.co/poaOZ93QEf",not_cyberbullying,0.059974585,0,0
"Usa brinco de ziper, crocs, calça verde neon e ainda reclama que sofre bullying",not_cyberbullying,0.16331999,0,0
WITHOUT YOU BE I'D BE MISERABLE AT BEST,not_cyberbullying,0.44573322,0,0
@kencf0618 asking people to read some of the shit they've received and provide a video of themselves doing so is no small thing.,not_cyberbullying,0.62136006,0,0
@MelissaRyan Look at what DC Public Schools are doing for bullying LGBT students now that @m_rhee is gone. http://t.co/ZegLmS7,not_cyberbullying,0.25462922,0,0
"Pete's palate is a sentient being, and it's confused! #MKR",not_cyberbullying,0.11057663,0,0
"While I can appreciate #LawAndOrderSVU, this episode just kicked off a new wave of harassment from GamerGate. Time to ride it out.",not_cyberbullying,0.12520397,0,0
They need a couple of 8's? #MKR,not_cyberbullying,0.046120718,0,0
@KhaledHamaki He beheaded 600 Jewish prisoners and sold their women and children into slavery.,not_cyberbullying,0.39441586,0,0
"And they knew me, too. SO WEIRD.",not_cyberbullying,0.039226998,0,0
Today my class was closed for xmas vecatiön. Wish u a hppy xms and new year..,not_cyberbullying,0.02449606,0,0
@GidgitVonLaRue Sounds amazing!  See you weren't inspired by #MKR to do a 'deconstructed lamb shank pie'? ie Lamb Shank &amp; a tough biscuit,not_cyberbullying,0.053295042,0,0
